person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
10007001;1;10007001_1;10:37:00;00:02:16;00:00:00;903;752;car;car;walk-car-walk;home_59400.0;other_1200.0;null;144395;4602585.759970994;5705899.77060682;null;110773;4601864.797942823;5706114.613106033;;
100071301;1;100071301_1;07:37:31;01:14:14;00:10:22;31886;27056;pt;pt;walk-pt-walk-pt-walk-pt-walk;home_52800.0;work_13800.0;null;59688;4627312.545491195;5828174.181538403;null;92111;4600718.641670594;5823194.6546292305;450009320518.1;070301009285
100071701;1;100071701_1;05:38:26;00:18:08;00:00:00;1149;729;walk;walk;walk;home_46200.0;leisure_1200.0;null;14424;4628106.781273547;5830543.232449984;null;21031;4628284.479671493;5829836.073128041;;
100072001;3;100072001_3;13:25:37;00:17:16;00:00:00;10478;6709;car;car;walk-car-walk;work_25800.0;shopping_1800.0;null;135870;4611438.485654981;5820242.656669227;null;116538;4617973.532208226;5821764.502829498;;
100074201;3;100074201_3;09:16:16;00:11:09;00:00:00;2100;1615;bicycle;bicycle;bicycle;leisure_1200.0;work_26400.0;null;99911;4629288.380631527;5824173.857533034;null;98854;4630507.786167261;5823114.2486251565;;
100074901;1;100074901_1;05:06:07;00:55:35;00:00:00;36953;26837;ride;ride;walk-ride-walk;home_58800.0;work_30000.0;null;652;4627603.850709577;5828675.169564813;null;79108;4601278.947997131;5833894.611303626;;
100076501;1;100076501_1;06:47:00;00:39:01;00:00:00;11955;7194;ride;ride;walk-ride-walk;home_40800.0;work_7800.0;null;59688;4627312.545491195;5828174.181538403;null;105754;4620674.924633898;5825399.04404139;;
100076501;6;100076501_6;21:36:00;00:41:37;00:00:00;17046;12271;car;car;walk-car-walk;home_11400.0;leisure_600.0;null;59688;4627807.815216258;5827256.788380698;null;44636;4617932.604304069;5819972.392462552;;
100076801;4;100076801_4;18:12:39;01:02:26;00:05:29;32607;22834;pt;pt;walk-pt-walk-pt-walk;work_31200.0;home_47400.0;null;85304;4602865.12043378;5827240.489871694;null;122340;4625449.82374783;5823873.459838593;060152001002;450009320004.2
100078101;3;100078101_3;17:21:00;00:15:34;00:00:00;5377;3751;ride;ride;walk-ride-walk;work_31800.0;leisure_1200.0;null;157296;4575896.101939558;5803443.90332551;null;21493;4576633.345707872;5807122.52125516;;
100082301;2;100082301_2;14:16:44;00:31:01;00:00:00;17648;10801;ride;ride;walk-ride-walk;work_22800.0;home_67800.0;null;16966;4629587.032700924;5815853.059282767;null;160144;4631987.63360207;5826384.347314056;;
100083101;3;100083101_3;10:49:57;00:23:23;00:02:14;3771;2662;pt;pt;walk-pt-walk;leisure_600.0;work_25200.0;null;55999;4599748.049838332;5825216.917891993;null;107825;4597090.7401949465;5825384.898376045;070301009015;070301009580
100083901;3;100083901_3;07:53:52;00:18:17;00:00:00;3382;1538;car;car;walk-car-walk;work_2400.0;shopping_600.0;null;91737;4619542.1150529655;5815844.278710976;null;10748;4619804.927703846;5814327.932661675;;
100085401;2;100085401_2;09:46:00;00:36:51;00:00:00;10926;8494;car;car;walk-car-walk;work_13800.0;leisure_600.0;null;102885;4603583.51074647;5813246.631483251;null;47334;4597382.703251128;5819051.821864133;;
100087001;1;100087001_1;07:36:28;00:46:05;00:00:00;8680;6448;bicycle;bicycle;bicycle;home_86400.0;work_9000.0;null;121589;4625570.123187016;5824202.663614316;null;109059;4620542.565420496;5820164.674302838;;
100087501;4;100087501_4;16:53:30;00:16:34;00:00:00;1050;807;walk;walk;walk;shopping_600.0;home_6000.0;null;652;4627543.442952918;5828367.8015097985;null;88170;4628350.015051064;5828323.230259925;;
100087801;3;100087801_3;17:42:11;00:18:54;00:00:00;14514;11404;car;car;walk-car-walk;shopping_10200.0;home_7800.0;null;80904;4640831.054429701;5836507.692732084;null;24781;4633651.911229272;5827646.081009307;;
100089501;1;100089501_1;08:18:10;00:15:02;00:00:00;14625;8935;car;car;walk-car-walk;home_59400.0;work_13800.0;null;121589;4625570.123187016;5824202.663614316;null;64200;4620712.089460681;5816703.676225557;;
100090501;2;100090501_2;06:03:21;00:16:38;00:00:00;4851;3976;car;car;walk-car-walk;other_1800.0;other_1200.0;null;105509;4628489.522797528;5829013.819099065;null;142862;4632164.075440068;5830534.6439512735;;
100093901;2;100093901_2;12:03:00;00:20:55;00:00:00;3942;3032;bicycle;bicycle;bicycle;other_7800.0;home_3000.0;null;120662;4630506.351149607;5829497.509384179;null;652;4627799.764305868;5828130.645016485;;
10009401;1;10009401_1;12:01:32;00:26:21;00:00:00;4965;3902;bicycle;bicycle;bicycle;home_88800.0;other_8400.0;null;144194;4601105.029697057;5702165.722440825;null;50047;4604656.522995617;5700548.373454199;;
10009601;2;10009601_2;16:33:18;00:10:55;00:00:00;692;532;walk;walk;walk;shopping_1200.0;home_93000.0;null;109264;4603716.482659238;5701078.117962029;null;109264;4604248.601744977;5701079.166348297;;
100096701;1;100096701_1;09:46:25;00:39:31;00:00:00;16447;12950;car;car;walk-car-walk;home_75000.0;other_600.0;null;69406;4628527.74138676;5828132.408956583;null;69967;4620472.980796458;5817991.452487441;;
100096701;6;100096701_6;15:58:10;00:39:45;00:00:00;16952;12512;car;car;walk-car-walk;other_1200.0;home_75000.0;null;16255;4640440.393434995;5825460.78001136;null;69406;4628200.571335381;5828056.709460659;;
10009801;3;10009801_3;15:39:04;00:13:50;00:00:00;2241;1498;car;car;walk-car-walk;other_1800.0;shopping_6000.0;null;28858;4613483.586103667;5705201.996913264;null;100642;4612118.143779178;5704583.519856216;;
100100401;2;100100401_2;11:40:43;00:12:26;00:00:00;2342;1801;bicycle;bicycle;bicycle;leisure_600.0;home_94800.0;null;105509;4628969.036225604;5829266.0812055245;null;652;4627668.882138844;5828018.984773008;;
100102501;1;100102501_1;06:55:00;00:47:31;00:00:00;8949;6465;bicycle;bicycle;bicycle;home_61200.0;work_6600.0;null;121587;4626842.666416906;5827527.048023697;null;12482;4629407.134841777;5833461.97307824;;
100103301;2;100103301_2;07:30:49;00:22:50;00:00:00;1445;1111;walk;walk;walk;shopping_600.0;home_12000.0;null;652;4627918.464524594;5828211.080069487;null;41350;4629007.951208008;5828432.026990212;;
100103301;7;100103301_7;14:20:58;00:53:08;00:00:00;7573;4893;car;car;walk-car-walk;shopping_1200.0;shopping_1200.0;null;23532;4627991.73159622;5843177.6322500855;null;24416;4626811.7345696725;5847926.90300305;;
100103701;4;100103701_4;13:15:15;01:20:09;00:00:00;25203;18431;car;car;walk-car-walk;work_3600.0;work_15600.0;null;108096;4602274.383308385;5808873.493603439;null;98932;4619605.275748033;5815147.344633;;
100106901;2;100106901_2;10:23:01;01:51:04;00:00:00;50219;29049;car;car;walk-car-walk;leisure_5400.0;work_37800.0;null;112530;4624878.100904452;5823169.013525813;null;136651;4598007.647838326;5812130.102678635;;
100110301;1;100110301_1;05:40:24;00:40:09;00:00:00;7562;5572;bicycle;bicycle;bicycle;home_67200.0;work_25800.0;null;59688;4627312.545491195;5828174.181538403;null;12482;4629520.655159129;5833290.545416211;;
100114501;2;100114501_2;18:15:50;00:13:55;00:00:00;882;678;walk;walk;walk;work_31200.0;home_65400.0;null;154787;4624762.59901875;5824269.9995775735;null;139046;4625388.317717076;5824007.067364723;;
100116001;1;100116001_1;06:47:59;01:00:03;00:00:00;37426;25615;car;car;walk-car-walk;home_44400.0;work_11400.0;null;129749;4626605.2496324135;5826038.050205519;null;68162;4639976.315458392;5804188.829036668;;
100117301;1;100117301_1;01:43:48;00:19:44;00:00:00;7669;5453;car;car;walk-car-walk;home_33000.0;other_600.0;null;59688;4627312.545491195;5828174.181538403;null;29325;4632266.523062077;5830454.554571376;;
100117301;6;100117301_6;15:08:28;00:42:43;00:00:00;22445;16195;car;car;walk-car-walk;work_19800.0;other_1200.0;null;150828;4594182.980639423;5847570.35467229;null;117651;4579424.962526675;5840900.434697229;;
100117901;4;100117901_4;13:11:23;00:16:43;00:01:25;4459;2294;drt;drt;walk-drt-walk;leisure_600.0;work_10800.0;null;31952;4595224.114887817;5825939.383012079;null;22134;4595269.892175876;5823645.829675738;;
100118301;2;100118301_2;14:33:50;00:48:09;00:09:36;11243;8234;pt;pt;walk-pt-walk-pt-walk;work_21600.0;leisure_1800.0;null;76578;4599865.891558965;5819111.996145954;null;121335;4607296.290786049;5822660.122075672;060120003653;070101006057
100119901;3;100119901_3;10:45:32;00:06:43;00:00:00;426;327;walk;walk;walk;leisure_4200.0;leisure_2400.0;null;148780;4607426.17869933;5812983.969857935;null;19143;4607724.531482242;5813119.167393775;;
100120101;1;100120101_1;03:32:00;00:27:40;00:00:00;17833;14021;car;car;walk-car-walk;home_22800.0;other_1200.0;null;59688;4627312.545491195;5828174.181538403;null;86139;4640137.283215966;5833843.17946948;;
100121201;1;100121201_1;08:32:00;00:09:36;00:00:00;1810;1181;bicycle;bicycle;bicycle;home_80400.0;shopping_2400.0;null;139046;4625386.337070289;5824002.772420621;null;57849;4624410.9607579075;5823336.646430218;;
10012201;2;10012201_2;15:02:29;00:08:29;00:00:00;1599;1230;bicycle;bicycle;bicycle;leisure_3600.0;home_600.0;null;18720;4603309.8725143;5699806.09187574;null;109264;4603971.693158449;5700842.979239782;;
100122301;3;100122301_3;18:48:01;00:23:39;00:00:00;7971;6200;car;car;walk-car-walk;home_28800.0;leisure_1200.0;null;121587;4626726.830514349;5827059.0978429895;null;142862;4632025.758107442;5830278.540464982;;
